Latex,Mathml,Description
,&#x00020;,SPACE
\varpi,&#x003D6;,"= \mathrm{\varpi} (omlmathrm), = \varpiup (kpfonts mathdesign), GREEK PI SYMBOL (pomega)"
\Qoppa,&#x003D8;,"= \Koppa (wrisym), t \Qoppa (LGR), GREEK LETTER ARCHAIC KOPPA"
\qoppa,&#x003D9;,"= \koppa (wrisym), t \qoppa (LGR), GREEK SMALL LETTER ARCHAIC KOPPA"
\Stigma,&#x003DA;,capital stigma
\stigma,&#x003DB;,GREEK SMALL LETTER STIGMA
\Digamma,&#x003DC;,capital digamma
\digamma,&#x003DD;,GREEK SMALL LETTER DIGAMMA
\Koppa,&#x003DE;,capital koppa
\koppa,&#x003DF;,GREEK SMALL LETTER KOPPA
\Sampi,&#x003E0;,capital sampi
\sampi,&#x003E1;,"# \sampi (wrisym), GREEK SMALL LETTER SAMPI"
\varkappa,&#x003F0;,GREEK KAPPA SYMBOL (round)
\varrho,&#x003F1;,"= \mathrm{\varrho} (omlmathrm), = \varrhoup (kpfonts mathdesign), GREEK RHO SYMBOL (round)"
,&#x003F4;,"x \varTheta (amssymb), GREEK CAPITAL THETA SYMBOL"
\epsilon,&#x003F5;,"= \mathrm{\epsilon} (omlmathrm), = \epsilonup (kpfonts mathdesign), GREEK LUNATE EPSILON SYMBOL"
\backepsilon,&#x003F6;,GREEK REVERSED LUNATE EPSILON SYMBOL
,&#x00428;,"t \CYRSHA (T2A), Shcy, CYRILLIC CAPITAL LETTER SHA"
,&#x00606;,ARABIC-INDIC CUBE ROOT
,&#x00607;,ARABIC-INDIC FOURTH ROOT
,&#x00608;,ARABIC RAY
,&#x02000;,enquad
\quad,&#x02001;,emquad
,&#x02002;,ensp (half an em)
,&#x02003;,emsp
,&#x02004;,THREE-PER-EM SPACE
,&#x02005;,"FOUR-PER-EM SPACE, mid space"
,&#x02006;,SIX-PER-EM SPACE
,&#x02007;,FIGURE SPACE
,&#x02009;,THIN SPACE
,&#x0200A;,HAIR SPACE
,&#x0200B;,"# \hspace{0pt}, zwsp"
,&#x02010;,HYPHEN (true graphic)
,&#x02012;,dash
,&#x02013;,ndash
,&#x02014;,mdash
,&#x02015;,HORIZONTAL BAR
\|,&#x02016;,"= \Vert, double vertical bar"
,&#x02017;,DOUBLE LOW LINE (spacing)
\dagger,&#x02020;,DAGGER relation
\ddagger,&#x02021;,DOUBLE DAGGER relation
\bullet,&#x02022;,"BULLET (small, filled)"
,&#x02025;,double baseline dot (en leader)
\ldots,&#x02026;,ellipsis (horizontal)
\prime,&#x02032;,"PRIME or minute, not superscripted"
\second,&#x02033;,"DOUBLE PRIME or second, not superscripted"
\third,&#x02034;,TRIPLE PRIME (not superscripted)
\backprime,&#x02035;,"reverse prime, not superscripted"
,&#x02036;,"double reverse prime, not superscripted"
,&#x02037;,"triple reverse prime, not superscripted"
,&#x02038;,CARET (insertion mark)
,&#x0203B;,"REFERENCE MARK, Japanese kome jirushi"
,&#x0203C;,"# !!, DOUBLE EXCLAMATION MARK"
\cat,&#x02040;,"CHARACTER TIE, z notation sequence concatenation"
,&#x02043;,"rectangle, filled (HYPHEN BULLET)"
,&#x02044;,"# /, FRACTION SLASH"
,&#x02047;,"# ??, DOUBLE QUESTION MARK"
,&#x0204E;,"# \ast, lowast, LOW ASTERISK"
,&#x0204F;,"bsemi, REVERSED SEMICOLON"
,&#x02050;,CLOSE UP (editing mark)
,&#x02051;,Ast
,&#x02052;,"# ./., COMMERCIAL MINUS SIGN"
\fourth,&#x02057;,"QUADRUPLE PRIME, not superscripted"
\:,&#x0205F;,"= \medspace (amsmath), MEDIUM MATHEMATICAL SPACE, four-eighteenths of an em"
,&#x02061;,FUNCTION APPLICATION
,&#x02062;,INVISIBLE TIMES
,&#x02063;,INVISIBLE SEPARATOR
,&#x02064;,INVISIBLE PLUS
,&#x0207A;,SUPERSCRIPT PLUS SIGN subscript operators
,&#x0207B;,SUPERSCRIPT MINUS subscript operators
,&#x0207C;,SUPERSCRIPT EQUALS SIGN subscript operators
