Latex,Mathml,Description
,&#x00020;,SPACE
,&#x025A9;,SQUARE WITH DIAGONAL CROSSHATCH FILL
,&#x025AA;,"sq bullet, filled"
,&#x025AB;,WHITE SMALL SQUARE
,&#x025AC;,BLACK RECTANGLE
,&#x025AD;,"horizontal rectangle, open"
,&#x025AE;,BLACK VERTICAL RECTANGLE
,&#x025AF;,"rectangle, white (vertical)"
,&#x025B0;,BLACK PARALLELOGRAM
,&#x025B1;,"parallelogram, open"
,&#x025B2;,BLACK UP-POINTING TRIANGLE
\bigtriangleup,&#x025B3;,"= \triangle (amsfonts), # \vartriangle (amssymb), big up triangle, open"
\blacktriangleup,&#x025B4;,"up triangle, filled"
\smalltriangleup,&#x025B5;,"# \vartriangle (amssymb), small up triangle, open"
\RHD,&#x025B6;,"= \blacktriangleright (fourier -mathabx), (large) right triangle, filled"
\rhd,&#x025B7;,"= \rres (oz), = \RightTriangle (wrisym), (large) right triangle, open; z notation range restriction"
\blacktriangleright,&#x025B8;,"right triangle, filled"
\smalltriangleright,&#x025B9;,"# \triangleright, x \triangleright (mathabx), right triangle, open"
,&#x025BA;,BLACK RIGHT-POINTING POINTER
,&#x025BB;,"# \triangleright (mathabx), WHITE RIGHT-POINTING POINTER"
,&#x025BC;,"big down triangle, filled"
\bigtriangledown,&#x025BD;,"big down triangle, open"
\blacktriangledown,&#x025BE;,BLACK DOWN-POINTING SMALL TRIANGLE
\smalltriangledown,&#x025BF;,"# \triangledown (amssymb), WHITE DOWN-POINTING SMALL TRIANGLE"
\LHD,&#x025C0;,"= \blacktriangleleft (fourier -mathabx), (large) left triangle, filled"
\lhd,&#x025C1;,"= \dres (oz), = \LeftTriangle (wrisym), (large) left triangle, open; z notation domain restriction"
\blacktriangleleft,&#x025C2;,"left triangle, filled"
\smalltriangleleft,&#x025C3;,"# \triangleleft, x \triangleleft (mathabx), left triangle, open"
,&#x025C4;,BLACK LEFT-POINTING POINTER
,&#x025C5;,"# \triangleleft (mathabx), WHITE LEFT-POINTING POINTER"
\Diamondblack,&#x025C6;,BLACK DIAMOND
\Diamond,&#x025C7;,"WHITE DIAMOND; diamond, open"
,&#x025C8;,WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND
,&#x025C9;,FISHEYE
\lozenge,&#x025CA;,LOZENGE or total mark
\Circle,&#x025CB;,medium large circle
,&#x025CC;,DOTTED CIRCLE
,&#x025CD;,CIRCLE WITH VERTICAL FILL
,&#x025CE;,"# \circledcirc (amssymb), BULLSEYE"
\CIRCLE,&#x025CF;,"circle, filled"
\LEFTcircle,&#x025D0;,"circle, filled left half [harvey ball]"
\RIGHTcircle,&#x025D1;,"circle, filled right half"
,&#x025D2;,"circle, filled bottom half"
,&#x025D3;,"circle, filled top half"
,&#x025D4;,CIRCLE WITH UPPER RIGHT QUADRANT BLACK
,&#x025D5;,CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK
\LEFTCIRCLE,&#x025D6;,LEFT HALF BLACK CIRCLE
\RIGHTCIRCLE,&#x025D7;,RIGHT HALF BLACK CIRCLE
,&#x025D8;,INVERSE BULLET
,&#x025D9;,INVERSE WHITE CIRCLE
,&#x025DA;,UPPER HALF INVERSE WHITE CIRCLE
,&#x025DB;,LOWER HALF INVERSE WHITE CIRCLE
,&#x025DC;,UPPER LEFT QUADRANT CIRCULAR ARC
,&#x025DD;,UPPER RIGHT QUADRANT CIRCULAR ARC
,&#x025DE;,LOWER RIGHT QUADRANT CIRCULAR ARC
,&#x025DF;,LOWER LEFT QUADRANT CIRCULAR ARC
,&#x025E0;,UPPER HALF CIRCLE
,&#x025E1;,LOWER HALF CIRCLE
,&#x025E2;,"lower right triangle, filled"
,&#x025E3;,"lower left triangle, filled"
,&#x025E4;,"upper left triangle, filled"
,&#x025E5;,"upper right triangle, filled"
,&#x025E6;,WHITE BULLET
,&#x025E7;,"square, filled left half"
,&#x025E8;,"square, filled right half"
,&#x025E9;,"square, filled top left corner"
,&#x025EA;,"square, filled bottom right corner"
\boxbar,&#x025EB;,vertical bar in box
,&#x025EC;,triangle with centered dot
,&#x025ED;,UP-POINTING TRIANGLE WITH LEFT HALF BLACK
,&#x025EE;,UP-POINTING TRIANGLE WITH RIGHT HALF BLACK
,&#x025EF;,LARGE CIRCLE
,&#x025F0;,WHITE SQUARE WITH UPPER LEFT QUADRANT
,&#x025F1;,WHITE SQUARE WITH LOWER LEFT QUADRANT
,&#x025F2;,WHITE SQUARE WITH LOWER RIGHT QUADRANT
,&#x025F3;,WHITE SQUARE WITH UPPER RIGHT QUADRANT
,&#x025F4;,WHITE CIRCLE WITH UPPER LEFT QUADRANT
,&#x025F5;,WHITE CIRCLE WITH LOWER LEFT QUADRANT
,&#x025F6;,WHITE CIRCLE WITH LOWER RIGHT QUADRANT
,&#x025F7;,WHITE CIRCLE WITH UPPER RIGHT QUADRANT
,&#x025F8;,UPPER LEFT TRIANGLE
,&#x025F9;,UPPER RIGHT TRIANGLE
,&#x025FA;,LOWER LEFT TRIANGLE
\square,&#x025FB;,WHITE MEDIUM SQUARE
\blacksquare,&#x025FC;,BLACK MEDIUM SQUARE
,&#x025FD;,WHITE MEDIUM SMALL SQUARE
,&#x025FE;,BLACK MEDIUM SMALL SQUARE
,&#x025FF;,LOWER RIGHT TRIANGLE
\bigstar,&#x02605;,"star, filled"
,&#x02606;,"star, open"
\Sun,&#x02609;,SUN
,&#x0260C;,"text \CONJUNCTION (wasysym), CONJUNCTION"
\Square,&#x02610;,BALLOT BOX
\CheckedBox,&#x02611;,"t \Checkedbox (marvosym), BALLOT BOX WITH CHECK"
\XBox,&#x02612;,"t \Crossedbox (marvosym), BALLOT BOX WITH X"
\steaming,&#x02615;,HOT BEVERAGE
\pointright,&#x0261E;,WHITE RIGHT POINTING INDEX
\skull,&#x02620;,SKULL AND CROSSBONES
,&#x02621;,"CAUTION SIGN, dangerous bend"
\radiation,&#x02622;,RADIOACTIVE SIGN
\biohazard,&#x02623;,BIOHAZARD SIGN
\yinyang,&#x0262F;,YIN YANG
\frownie,&#x02639;,"= \sadface (arevmath), WHITE FROWNING FACE"
\smiley,&#x0263A;,"= \smileface (arevmath), WHITE SMILING FACE"
\blacksmiley,&#x0263B;,"= \invsmileface (arevmath), BLACK SMILING FACE"
\sun,&#x0263C;,WHITE SUN WITH RAYS
\rightmoon,&#x0263D;,FIRST QUARTER MOON
\leftmoon,&#x0263E;,LAST QUARTER MOON
\mercury,&#x0263F;,"= \Mercury (mathabx), MERCURY"
\female,&#x02640;,"= \Venus (mathabx), = \girl (mathabx), venus, female"
\earth,&#x02641;,"= \varEarth (mathabx), EARTH"
\male,&#x02642;,"= \Mars (mathabx), = \boy (mathabx), mars, male"
\jupiter,&#x02643;,"= \Jupiter (mathabx), JUPITER"
\saturn,&#x02644;,"= \Saturn (mathabx), SATURN"
\uranus,&#x02645;,"= \Uranus (mathabx), URANUS"
\neptune,&#x02646;,"= \Neptune (mathabx), NEPTUNE"
\pluto,&#x02647;,"= \Pluto (mathabx), PLUTO"
\aries,&#x02648;,"= \Aries (mathabx), ARIES"
\taurus,&#x02649;,"= \Taurus (mathabx), TAURUS"
\gemini,&#x0264A;,"= \Gemini (mathabx), GEMINI"
\cancer,&#x0264B;,CANCER
\leo,&#x0264C;,"= \Leo (mathabx), LEO"
\virgo,&#x0264D;,VIRGO
\libra,&#x0264E;,"= \Libra (mathabx), LIBRA"
\scorpio,&#x0264F;,"= \Scorpio (mathabx), SCORPIUS"
\sagittarius,&#x02650;,SAGITTARIUS
\capricornus,&#x02651;,CAPRICORN
\aquarius,&#x02652;,AQUARIUS
\pisces,&#x02653;,PISCES
\spadesuit,&#x02660;,spades suit symbol
\heartsuit,&#x02661;,heart suit symbol
\diamondsuit,&#x02662;,diamond suit symbol
\clubsuit,&#x02663;,club suit symbol
\varspadesuit,&#x02664;,"= \varspade (arevmath), spade, white (card suit)"
\varheartsuit,&#x02665;,"= \varheart (arevmath), filled heart (card suit)"
\vardiamondsuit,&#x02666;,"= \vardiamond (arevmath), filled diamond (card suit)"
\varclubsuit,&#x02667;,"= \varclub (arevmath), club, white (card suit)"
\quarternote,&#x02669;,music note (sung text sign)
\eighthnote,&#x0266A;,EIGHTH NOTE
\twonotes,&#x0266B;,BEAMED EIGHTH NOTES
\sixteenthnote,&#x0266C;,BEAMED SIXTEENTH NOTES
\flat,&#x0266D;,musical flat
\natural,&#x0266E;,music natural
\sharp,&#x0266F;,"= \# (oz), MUSIC SHARP SIGN, z notation infix bag count"
\recycle,&#x0267B;,BLACK UNIVERSAL RECYCLING SYMBOL
,&#x0267E;,PERMANENT PAPER SIGN
,&#x02680;,DIE FACE-1
,&#x02681;,DIE FACE-2
,&#x02682;,DIE FACE-3
,&#x02683;,DIE FACE-4
,&#x02684;,DIE FACE-5
,&#x02685;,DIE FACE-6
,&#x02686;,WHITE CIRCLE WITH DOT RIGHT
,&#x02687;,WHITE CIRCLE WITH TWO DOTS
,&#x02688;,BLACK CIRCLE WITH WHITE DOT RIGHT
,&#x02689;,BLACK CIRCLE WITH TWO WHITE DOTS
\anchor,&#x02693;,ANCHOR
\swords,&#x02694;,CROSSED SWORDS
\warning,&#x026A0;,WARNING SIGN
,&#x026A5;,MALE AND FEMALE SIGN
\medcirc,&#x026AA;,MEDIUM WHITE CIRCLE
\medbullet,&#x026AB;,MEDIUM BLACK CIRCLE
,&#x026AC;,MEDIUM SMALL WHITE CIRCLE
,&#x026B2;,NEUTER
\pencil,&#x0270E;,LOWER RIGHT PENCIL
\checkmark,&#x02713;,"= \ballotcheck (arevmath), tick, CHECK MARK"
\ballotx,&#x02717;,BALLOT X
\maltese,&#x02720;,MALTESE CROSS
,&#x0272A;,CIRCLED WHITE STAR
,&#x02736;,SIX POINTED BLACK STAR
,&#x0273D;,HEAVY TEARDROP-SPOKED ASTERISK
,&#x02772;,LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
,&#x02773;,LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
,&#x0279B;,right arrow with bold head (drafting)
\arrowbullet,&#x027A2;,THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
,&#x027C0;,THREE DIMENSIONAL ANGLE
,&#x027C1;,WHITE TRIANGLE CONTAINING SMALL WHITE TRIANGLE
\perp,&#x027C2;,PERPENDICULAR
,&#x027C3;,OPEN SUBSET
,&#x027C4;,OPEN SUPERSET
\Lbag,&#x027C5;,"= \lbag (stmaryrd -oz), LEFT S-SHAPED BAG DELIMITER"
\Rbag,&#x027C6;,"= \rbag (stmaryrd -oz), RIGHT S-SHAPED BAG DELIMITER"
,&#x027C7;,OR WITH DOT INSIDE
,&#x027C8;,REVERSE SOLIDUS PRECEDING SUBSET
,&#x027C9;,SUPERSET PRECEDING SOLIDUS
,&#x027CA;,VERTICAL BAR WITH HORIZONTAL STROKE
,&#x027CC;,LONG DIVISION
\Diamonddot,&#x027D0;,WHITE DIAMOND WITH CENTRED DOT
,&#x027D1;,AND WITH DOT
,&#x027D2;,ELEMENT OF OPENING UPWARDS
,&#x027D3;,LOWER RIGHT CORNER WITH DOT
,&#x027D4;,UPPER LEFT CORNER WITH DOT
,&#x027D5;,LEFT OUTER JOIN
,&#x027D6;,RIGHT OUTER JOIN
,&#x027D7;,FULL OUTER JOIN
,&#x027D8;,LARGE UP TACK
,&#x027D9;,LARGE DOWN TACK
,&#x027DA;,LEFT AND RIGHT DOUBLE TURNSTILE
,&#x027DB;,LEFT AND RIGHT TACK
\multimapinv,&#x027DC;,LEFT MULTIMAP
,&#x027DD;,long left tack
,&#x027DE;,long right tack
,&#x027DF;,UP TACK WITH CIRCLE ABOVE
,&#x027E0;,LOZENGE DIVIDED BY HORIZONTAL RULE
,&#x027E1;,WHITE CONCAVE-SIDED DIAMOND
,&#x027E2;,WHITE CONCAVE-SIDED DIAMOND WITH LEFTWARDS TICK
,&#x027E3;,WHITE CONCAVE-SIDED DIAMOND WITH RIGHTWARDS TICK
,&#x027E4;,WHITE SQUARE WITH LEFTWARDS TICK
,&#x027E5;,WHITE SQUARE WITH RIGHTWARDS TICK
\llbracket,&#x027E6;,"= \Lbrack (mathbbol), = \lbag (oz -stmaryrd), MATHEMATICAL LEFT WHITE SQUARE BRACKET"
\rrbracket,&#x027E7;,"= \Rbrack (mathbbol), = \rbag (oz -stmaryrd), MATHEMATICAL RIGHT WHITE SQUARE BRACKET"
\langle,&#x027E8;,MATHEMATICAL LEFT ANGLE BRACKET
\rangle,&#x027E9;,MATHEMATICAL RIGHT ANGLE BRACKET
\lang,&#x027EA;,"MATHEMATICAL LEFT DOUBLE ANGLE BRACKET, z notation left chevron bracket"
\rang,&#x027EB;,"MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET, z notation right chevron bracket"
,&#x027EC;,MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET
,&#x027ED;,MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET
\lgroup,&#x027EE;,MATHEMATICAL LEFT FLATTENED PARENTHESIS
\rgroup,&#x027EF;,MATHEMATICAL RIGHT FLATTENED PARENTHESIS
,&#x027F0;,UPWARDS QUADRUPLE ARROW
,&#x027F1;,DOWNWARDS QUADRUPLE ARROW
,&#x027F2;,ANTICLOCKWISE GAPPED CIRCLE ARROW
,&#x027F3;,CLOCKWISE GAPPED CIRCLE ARROW
,&#x027F4;,RIGHT ARROW WITH CIRCLED PLUS
\longleftarrow,&#x027F5;,LONG LEFTWARDS ARROW
\longrightarrow,&#x027F6;,LONG RIGHTWARDS ARROW
\longleftrightarrow,&#x027F7;,LONG LEFT RIGHT ARROW
\Longleftarrow,&#x027F8;,"= \impliedby (amsmath), LONG LEFTWARDS DOUBLE ARROW"
\Longrightarrow,&#x027F9;,"= \implies (amsmath), LONG RIGHTWARDS DOUBLE ARROW"
\Longleftrightarrow,&#x027FA;,"= \iff (oz), LONG LEFT RIGHT DOUBLE ARROW"
\longmapsfrom,&#x027FB;,"= \longmappedfrom (kpfonts), LONG LEFTWARDS ARROW FROM BAR"
\longmapsto,&#x027FC;,LONG RIGHTWARDS ARROW FROM BAR
\Longmapsfrom,&#x027FD;,"= \Longmappedfrom (kpfonts), LONG LEFTWARDS DOUBLE ARROW FROM BAR"
\Longmapsto,&#x027FE;,LONG RIGHTWARDS DOUBLE ARROW FROM BAR
,&#x027FF;,LONG RIGHTWARDS SQUIGGLE ARROW
\psur,&#x02900;,"= \psurj (oz), RIGHTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE, z notation partial surjection"
,&#x02901;,"RIGHTWARDS TWO-HEADED ARROW WITH DOUBLE VERTICAL STROKE, z notation finite surjection"
,&#x02902;,LEFTWARDS DOUBLE ARROW WITH VERTICAL STROKE
,&#x02903;,RIGHTWARDS DOUBLE ARROW WITH VERTICAL STROKE
,&#x02904;,LEFT RIGHT DOUBLE ARROW WITH VERTICAL STROKE
,&#x02905;,RIGHTWARDS TWO-HEADED ARROW FROM BAR
\Mapsfrom,&#x02906;,"= \Mappedfrom (kpfonts), LEFTWARDS DOUBLE ARROW FROM BAR"
\Mapsto,&#x02907;,RIGHTWARDS DOUBLE ARROW FROM BAR
,&#x02908;,DOWNWARDS ARROW WITH HORIZONTAL STROKE
,&#x02909;,UPWARDS ARROW WITH HORIZONTAL STROKE
,&#x0290A;,UPWARDS TRIPLE ARROW
,&#x0290B;,DOWNWARDS TRIPLE ARROW
,&#x0290C;,LEFTWARDS DOUBLE DASH ARROW
,&#x0290D;,RIGHTWARDS DOUBLE DASH ARROW
,&#x0290E;,LEFTWARDS TRIPLE DASH ARROW
,&#x0290F;,RIGHTWARDS TRIPLE DASH ARROW
,&#x02910;,RIGHTWARDS TWO-HEADED TRIPLE DASH ARROW
,&#x02911;,RIGHTWARDS ARROW WITH DOTTED STEM
\UpArrowBar,&#x02912;,UPWARDS ARROW TO BAR
\DownArrowBar,&#x02913;,DOWNWARDS ARROW TO BAR
\pinj,&#x02914;,"RIGHTWARDS ARROW WITH TAIL WITH VERTICAL STROKE, z notation partial injection"
\finj,&#x02915;,"RIGHTWARDS ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE, z notation finite injection"
\bij,&#x02916;,"RIGHTWARDS TWO-HEADED ARROW WITH TAIL, z notation bijection"
,&#x02917;,"RIGHTWARDS TWO-HEADED ARROW WITH TAIL WITH VERTICAL STROKE, z notation surjective injection"
,&#x02918;,"RIGHTWARDS TWO-HEADED ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE, z notation finite surjective injection"
,&#x02919;,LEFTWARDS ARROW-TAIL
,&#x0291A;,RIGHTWARDS ARROW-TAIL
,&#x0291B;,LEFTWARDS DOUBLE ARROW-TAIL
,&#x0291C;,RIGHTWARDS DOUBLE ARROW-TAIL
,&#x0291D;,LEFTWARDS ARROW TO BLACK DIAMOND
,&#x0291E;,RIGHTWARDS ARROW TO BLACK DIAMOND
,&#x0291F;,LEFTWARDS ARROW FROM BAR TO BLACK DIAMOND
,&#x02920;,RIGHTWARDS ARROW FROM BAR TO BLACK DIAMOND
,&#x02921;,NORTH WEST AND SOUTH EAST ARROW
,&#x02922;,NORTH EAST AND SOUTH WEST ARROW
,&#x02923;,NORTH WEST ARROW WITH HOOK
,&#x02924;,NORTH EAST ARROW WITH HOOK
,&#x02925;,SOUTH EAST ARROW WITH HOOK
,&#x02926;,SOUTH WEST ARROW WITH HOOK
,&#x02927;,NORTH WEST ARROW AND NORTH EAST ARROW
,&#x02928;,NORTH EAST ARROW AND SOUTH EAST ARROW
,&#x02929;,SOUTH EAST ARROW AND SOUTH WEST ARROW
,&#x0292A;,SOUTH WEST ARROW AND NORTH WEST ARROW
,&#x0292B;,RISING DIAGONAL CROSSING FALLING DIAGONAL
,&#x0292C;,FALLING DIAGONAL CROSSING RISING DIAGONAL
,&#x0292D;,SOUTH EAST ARROW CROSSING NORTH EAST ARROW
,&#x0292E;,NORTH EAST ARROW CROSSING SOUTH EAST ARROW
,&#x0292F;,FALLING DIAGONAL CROSSING NORTH EAST ARROW
,&#x02930;,RISING DIAGONAL CROSSING SOUTH EAST ARROW
,&#x02931;,NORTH EAST ARROW CROSSING NORTH WEST ARROW
,&#x02932;,NORTH WEST ARROW CROSSING NORTH EAST ARROW
\leadsto,&#x02933;,WAVE ARROW POINTING DIRECTLY RIGHT
,&#x02934;,ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS
,&#x02935;,ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS
,&#x02936;,ARROW POINTING DOWNWARDS THEN CURVING LEFTWARDS
,&#x02937;,ARROW POINTING DOWNWARDS THEN CURVING RIGHTWARDS
,&#x02938;,RIGHT-SIDE ARC CLOCKWISE ARROW
,&#x02939;,LEFT-SIDE ARC ANTICLOCKWISE ARROW
,&#x0293A;,TOP ARC ANTICLOCKWISE ARROW
,&#x0293B;,BOTTOM ARC ANTICLOCKWISE ARROW
,&#x0293C;,TOP ARC CLOCKWISE ARROW WITH MINUS
,&#x0293D;,TOP ARC ANTICLOCKWISE ARROW WITH PLUS
,&#x0293E;,LOWER RIGHT SEMICIRCULAR CLOCKWISE ARROW
,&#x0293F;,LOWER LEFT SEMICIRCULAR ANTICLOCKWISE ARROW
,&#x02940;,ANTICLOCKWISE CLOSED CIRCLE ARROW
,&#x02941;,CLOCKWISE CLOSED CIRCLE ARROW
,&#x02942;,RIGHTWARDS ARROW ABOVE SHORT LEFTWARDS ARROW
,&#x02943;,LEFTWARDS ARROW ABOVE SHORT RIGHTWARDS ARROW
,&#x02944;,SHORT RIGHTWARDS ARROW ABOVE LEFTWARDS ARROW
,&#x02945;,RIGHTWARDS ARROW WITH PLUS BELOW
,&#x02946;,LEFTWARDS ARROW WITH PLUS BELOW
,&#x02947;,RIGHTWARDS ARROW THROUGH X
,&#x02948;,LEFT RIGHT ARROW THROUGH SMALL CIRCLE
,&#x02949;,UPWARDS TWO-HEADED ARROW FROM SMALL CIRCLE
\leftrightharpoon,&#x0294A;,LEFT BARB UP RIGHT BARB DOWN HARPOON
\rightleftharpoon,&#x0294B;,LEFT BARB DOWN RIGHT BARB UP HARPOON
,&#x0294C;,UP BARB RIGHT DOWN BARB LEFT HARPOON
,&#x0294D;,UP BARB LEFT DOWN BARB RIGHT HARPOON
\leftrightharpoonup,&#x0294E;,LEFT BARB UP RIGHT BARB UP HARPOON
\rightupdownharpoon,&#x0294F;,UP BARB RIGHT DOWN BARB RIGHT HARPOON
\leftrightharpoondown,&#x02950;,LEFT BARB DOWN RIGHT BARB DOWN HARPOON
\leftupdownharpoon,&#x02951;,UP BARB LEFT DOWN BARB LEFT HARPOON
\LeftVectorBar,&#x02952;,LEFTWARDS HARPOON WITH BARB UP TO BAR
\RightVectorBar,&#x02953;,RIGHTWARDS HARPOON WITH BARB UP TO BAR
\RightUpVectorBar,&#x02954;,UPWARDS HARPOON WITH BARB RIGHT TO BAR
\RightDownVectorBar,&#x02955;,DOWNWARDS HARPOON WITH BARB RIGHT TO BAR
\DownLeftVectorBar,&#x02956;,LEFTWARDS HARPOON WITH BARB DOWN TO BAR
\DownRightVectorBar,&#x02957;,RIGHTWARDS HARPOON WITH BARB DOWN TO BAR
\LeftUpVectorBar,&#x02958;,UPWARDS HARPOON WITH BARB LEFT TO BAR
\LeftDownVectorBar,&#x02959;,DOWNWARDS HARPOON WITH BARB LEFT TO BAR
\LeftTeeVector,&#x0295A;,LEFTWARDS HARPOON WITH BARB UP FROM BAR
\RightTeeVector,&#x0295B;,RIGHTWARDS HARPOON WITH BARB UP FROM BAR
\RightUpTeeVector,&#x0295C;,UPWARDS HARPOON WITH BARB RIGHT FROM BAR
\RightDownTeeVector,&#x0295D;,DOWNWARDS HARPOON WITH BARB RIGHT FROM BAR
\DownLeftTeeVector,&#x0295E;,LEFTWARDS HARPOON WITH BARB DOWN FROM BAR
\DownRightTeeVector,&#x0295F;,RIGHTWARDS HARPOON WITH BARB DOWN FROM BAR
\LeftUpTeeVector,&#x02960;,UPWARDS HARPOON WITH BARB LEFT FROM BAR
\LeftDownTeeVector,&#x02961;,DOWNWARDS HARPOON WITH BARB LEFT FROM BAR
\leftleftharpoons,&#x02962;,LEFTWARDS HARPOON WITH BARB UP ABOVE LEFTWARDS HARPOON WITH BARB DOWN
\upupharpoons,&#x02963;,UPWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT
\rightrightharpoons,&#x02964;,RIGHTWARDS HARPOON WITH BARB UP ABOVE RIGHTWARDS HARPOON WITH BARB DOWN
\downdownharpoons,&#x02965;,DOWNWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT
,&#x02966;,LEFTWARDS HARPOON WITH BARB UP ABOVE RIGHTWARDS HARPOON WITH BARB UP
,&#x02967;,LEFTWARDS HARPOON WITH BARB DOWN ABOVE RIGHTWARDS HARPOON WITH BARB DOWN
,&#x02968;,RIGHTWARDS HARPOON WITH BARB UP ABOVE LEFTWARDS HARPOON WITH BARB UP
,&#x02969;,RIGHTWARDS HARPOON WITH BARB DOWN ABOVE LEFTWARDS HARPOON WITH BARB DOWN
\leftbarharpoon,&#x0296A;,LEFTWARDS HARPOON WITH BARB UP ABOVE LONG DASH
\barleftharpoon,&#x0296B;,LEFTWARDS HARPOON WITH BARB DOWN BELOW LONG DASH
\rightbarharpoon,&#x0296C;,RIGHTWARDS HARPOON WITH BARB UP ABOVE LONG DASH
\barrightharpoon,&#x0296D;,RIGHTWARDS HARPOON WITH BARB DOWN BELOW LONG DASH
\updownharpoons,&#x0296E;,"= \upequilibrium (wrisym), UPWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT"
\downupharpoons,&#x0296F;,"= \uprevequilibrium (wrisym), DOWNWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT"
,&#x02970;,RIGHT DOUBLE ARROW WITH ROUNDED HEAD
,&#x02971;,EQUALS SIGN ABOVE RIGHTWARDS ARROW
,&#x02972;,TILDE OPERATOR ABOVE RIGHTWARDS ARROW
,&#x02973;,LEFTWARDS ARROW ABOVE TILDE OPERATOR
,&#x02974;,RIGHTWARDS ARROW ABOVE TILDE OPERATOR
,&#x02975;,RIGHTWARDS ARROW ABOVE ALMOST EQUAL TO
,&#x02976;,LESS-THAN ABOVE LEFTWARDS ARROW
,&#x02977;,LEFTWARDS ARROW THROUGH LESS-THAN
,&#x02978;,GREATER-THAN ABOVE RIGHTWARDS ARROW
,&#x02979;,SUBSET ABOVE RIGHTWARDS ARROW
,&#x0297A;,LEFTWARDS ARROW THROUGH SUBSET
,&#x0297B;,SUPERSET ABOVE LEFTWARDS ARROW
\strictfi,&#x0297C;,LEFT FISH TAIL
\strictif,&#x0297D;,RIGHT FISH TAIL
,&#x0297E;,UP FISH TAIL
,&#x0297F;,DOWN FISH TAIL
\VERT,&#x02980;,TRIPLE VERTICAL BAR DELIMITER
\spot,&#x02981;,"= \dot (oz), Z NOTATION SPOT"
,&#x02982;,"Z NOTATION TYPE COLON, (present in bbold font but no command)"
,&#x02983;,LEFT WHITE CURLY BRACKET
,&#x02984;,RIGHT WHITE CURLY BRACKET
\Lparen,&#x02985;,LEFT WHITE PARENTHESIS
\Rparen,&#x02986;,RIGHT WHITE PARENTHESIS
\limg,&#x02987;,"= \llparenthesis (stmaryrd), Z NOTATION LEFT IMAGE BRACKET"
\rimg,&#x02988;,"= \rrparenthesis (stmaryrd), Z NOTATION RIGHT IMAGE BRACKET"
\lblot,&#x02989;,Z NOTATION LEFT BINDING BRACKET
\rblot,&#x0298A;,Z NOTATION RIGHT BINDING BRACKET
,&#x0298B;,LEFT SQUARE BRACKET WITH UNDERBAR
,&#x0298C;,RIGHT SQUARE BRACKET WITH UNDERBAR
,&#x0298D;,LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
,&#x0298E;,RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
,&#x0298F;,LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
,&#x02990;,RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
,&#x02991;,LEFT ANGLE BRACKET WITH DOT
,&#x02992;,RIGHT ANGLE BRACKET WITH DOT
,&#x02993;,LEFT ARC LESS-THAN BRACKET
,&#x02994;,RIGHT ARC GREATER-THAN BRACKET
,&#x02995;,DOUBLE LEFT ARC GREATER-THAN BRACKET
,&#x02996;,DOUBLE RIGHT ARC LESS-THAN BRACKET
,&#x02997;,LEFT BLACK TORTOISE SHELL BRACKET
,&#x02998;,RIGHT BLACK TORTOISE SHELL BRACKET
,&#x02999;,DOTTED FENCE
,&#x0299A;,VERTICAL ZIGZAG LINE
,&#x0299B;,MEASURED ANGLE OPENING LEFT
,&#x0299C;,RIGHT ANGLE VARIANT WITH SQUARE
,&#x0299D;,MEASURED RIGHT ANGLE WITH DOT
,&#x0299E;,ANGLE WITH S INSIDE
,&#x0299F;,ACUTE ANGLE
,&#x029A0;,SPHERICAL ANGLE OPENING LEFT
,&#x029A1;,SPHERICAL ANGLE OPENING UP
,&#x029A2;,TURNED ANGLE
,&#x029A3;,REVERSED ANGLE
,&#x029A4;,ANGLE WITH UNDERBAR
,&#x029A5;,REVERSED ANGLE WITH UNDERBAR
,&#x029A6;,OBLIQUE ANGLE OPENING UP
,&#x029A7;,OBLIQUE ANGLE OPENING DOWN
,&#x029A8;,MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND RIGHT
,&#x029A9;,MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND LEFT
,&#x029AA;,MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND RIGHT
